artistName,trackName,msPlayed
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,101356
Eagles,I Can't Tell You Why - 2013 Remaster,74815
Eagles,I Can't Tell You Why - 2013 Remaster,295049
Eagles,I Can't Tell You Why - 2013 Remaster,208770
Broken Bells,Shelter,5503
YG,666 (feat. YoungBoy Never Broke Again),160533
Quavo,FLIP THE SWITCH (feat. Drake),183587
Isaiah Rashad,Smile,203371
Justin Timberlake,Higher Higher,258506
DRAM,Gilligan,379978
Masego,Lavish Lullaby,895
Broken Bells,Shelter,19840
YG,666 (feat. YoungBoy Never Broke Again),154154
Isaiah Rashad,Smile,2282
Quavo,FLIP THE SWITCH (feat. Drake),208874
Justin Timberlake,Higher Higher,258506
Masego,Lavish Lullaby,1023
DRAM,Gilligan,152854
The Weeknd,Heaven Or Las Vegas,426
The Sugarhill Gang,Rapper's Delight,640
Paul Schoenfield,Achat Sha' alti,2090
YG,666 (feat. YoungBoy Never Broke Again),25280
Diddy,Watcha Gon' Do? (feat. Biggie & Rick Ross),0
Vic Mensa,New Bae,426
Indeep,Last Night a D.J. Saved My Life,554
Metallica,Welcome Home (Sanitarium) (Remastered),874
Howard Shore,A Conspiracy Unmasked,895
Metro Boomin,"Only You (feat. WizKid, Offset & J Balvin)",1216
Finnebassen,When Doves Cry,1237
Étienne de Crécy,You (feat. Madeline Follin) - Todd Edwards Remix (Radio Edit),1536
The Pharcyde,She Said,2986
Kenny Glasgow,In Too Deep - Original Mix,5686
Tapesh,Underground - Original Mix,789781
Eliot Lipp,I Told Ya,1002
Scot Project,D (Don't Go) [Mix Cut],1322
Jerry Jeff Walker,Gettin' By,1600
Aaron May,Dreams,1877
Neil Young,Southern Man,3562
Wallpaper.,#STUPiDFACEDD,9056
Avenged Sevenfold,I Won't See You Tonight Part 2,284694
Get Cozy,Get Up,100288
YG,666 (feat. YoungBoy Never Broke Again),107520
Broken Bells,Shelter,225984
Broken Bells,Shelter,1920
