danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.826,0.628,4,-6.286,0,0.0471,0.0717,0.588,0.0703,0.767,92.253,audio_features,1HYZy3vuKKxHd7dTFPx10a,spotify:track:1HYZy3vuKKxHd7dTFPx10a,https://api.spotify.com/v1/tracks/1HYZy3vuKKxHd7dTFPx10a,https://api.spotify.com/v1/audio-analysis/1HYZy3vuKKxHd7dTFPx10a,221022,4
0.467,0.701,4,-4.997,1,0.0302,0.191,0.0,0.0769,0.28,132.041,audio_features,7Lr4XaxGpkAwa37IVgg22k,spotify:track:7Lr4XaxGpkAwa37IVgg22k,https://api.spotify.com/v1/tracks/7Lr4XaxGpkAwa37IVgg22k,https://api.spotify.com/v1/audio-analysis/7Lr4XaxGpkAwa37IVgg22k,214219,3
0.419,0.245,7,-6.229,1,0.0331,0.71,0.0,0.119,0.374,144.682,audio_features,3pL8ehF7ju0Ld4pGctb9NC,spotify:track:3pL8ehF7ju0Ld4pGctb9NC,https://api.spotify.com/v1/tracks/3pL8ehF7ju0Ld4pGctb9NC,https://api.spotify.com/v1/audio-analysis/3pL8ehF7ju0Ld4pGctb9NC,165802,4
0.874,0.876,11,-7.947,1,0.306,0.00156,0.0,0.288,0.454,115.996,audio_features,2NaYnfwrr3QKhOdG3IXfux,spotify:track:2NaYnfwrr3QKhOdG3IXfux,https://api.spotify.com/v1/tracks/2NaYnfwrr3QKhOdG3IXfux,https://api.spotify.com/v1/audio-analysis/2NaYnfwrr3QKhOdG3IXfux,214570,4
0.772,0.633,9,-11.06,0,0.0401,0.0146,0.885,0.165,0.261,123.017,audio_features,7oh8tFRTgDOlzeiQDadNTn,spotify:track:7oh8tFRTgDOlzeiQDadNTn,https://api.spotify.com/v1/tracks/7oh8tFRTgDOlzeiQDadNTn,https://api.spotify.com/v1/audio-analysis/7oh8tFRTgDOlzeiQDadNTn,397822,4
0.575,0.886,5,-5.182,1,0.034,0.0647,0.000187,0.709,0.608,96.308,audio_features,0KDaN0HL3TcJVTbXlQCEsS,spotify:track:0KDaN0HL3TcJVTbXlQCEsS,https://api.spotify.com/v1/tracks/0KDaN0HL3TcJVTbXlQCEsS,https://api.spotify.com/v1/audio-analysis/0KDaN0HL3TcJVTbXlQCEsS,244667,4
0.839,0.658,2,-5.515,0,0.045,0.252,0.0202,0.149,0.818,147.005,audio_features,4dulFGnSzdNW3iNdxxzgy7,spotify:track:4dulFGnSzdNW3iNdxxzgy7,https://api.spotify.com/v1/tracks/4dulFGnSzdNW3iNdxxzgy7,https://api.spotify.com/v1/audio-analysis/4dulFGnSzdNW3iNdxxzgy7,197360,4
0.87,0.35,1,-6.082,1,0.277,0.00661,0.000483,0.108,0.175,74.963,audio_features,2Grb4G6t9VIqo6moKUloom,spotify:track:2Grb4G6t9VIqo6moKUloom,https://api.spotify.com/v1/tracks/2Grb4G6t9VIqo6moKUloom,https://api.spotify.com/v1/audio-analysis/2Grb4G6t9VIqo6moKUloom,168347,4
0.657,0.396,7,-9.255,1,0.0293,0.805,1.58e-06,0.103,0.115,110.003,audio_features,6Qwuw0eOeszVlewLpu24gR,spotify:track:6Qwuw0eOeszVlewLpu24gR,https://api.spotify.com/v1/tracks/6Qwuw0eOeszVlewLpu24gR,https://api.spotify.com/v1/audio-analysis/6Qwuw0eOeszVlewLpu24gR,239787,3
0.684,0.763,10,-6.955,0,0.051,0.0479,0.909,0.336,0.753,96.212,audio_features,1jIF6u4TLDWpJ6bdJSNsoG,spotify:track:1jIF6u4TLDWpJ6bdJSNsoG,https://api.spotify.com/v1/tracks/1jIF6u4TLDWpJ6bdJSNsoG,https://api.spotify.com/v1/audio-analysis/1jIF6u4TLDWpJ6bdJSNsoG,261333,4
